ID,Question,Answer
50,গ্রামীণ ব্যাংকের শুরু কোত্থেকে?,"নোবেল বিজয়ী প্রফেসর ডঃ মোঃ ইউনুস পর্যবেক্ষণ করেন যে শেকর-পর্যায়ের মহিলারা সবচেয়ে শোষিত ও নিপীড়িত। কিন্তু তাদের হাতের কাজ ভালো ছিল। কিছু মহিলা ছিলেন যারা বেতের ঝুড়ি উৎপাদন করতেন। কিন্তু তারা খুব গরীব। জানা যায় যে মহিলারা মহাজনের থেকে তাদের কাঁচামাল পান। মহাজন চওড়া শুদ রাখে, যার মাধ্যমে সে মহিলাদের উপর অত্যাচার করে। ডঃ ইউনুস সিদ্ধান্ত নিলেন তিনি এই মহিলাদের ঋণ দিবেন যার মাধ্যমে তারা নিজেদের কাঁচামাল নিজেরাই কিনবেন। এতে শুধু মহিলাদের ক্ষুমতায়নই না, তারা আর্থিকভাবে স্বাবলম্বী হবে। ব্যবসা করে খরচসহ তারা সেই ঋণ প্রতিশোধ করে দেয় এবং ভবিষ্যতে ব্যবসা সম্প্রসারণের জন্যেও তারা ঋণ নেয়। এতে ডঃ ইউনুসের ক্ষুদ্রঋণের বুদ্ধি আসে। তিনি বাংলাদেশ সরকারের কাছে এই নিয়ে কাজ করার আবেদন করেন। তাকে সরকার থেকে নির্দেশনা দেওয়া হয় কর্মপদ্ধতি তৈরি করে নিজ অর্থায়নে তা প্রয়োগ করে দেখাতে। তিনি তা করেন এবং এখান থেকে প্রচুর সাফল্য পান। এখান থেকেই গ্রামীণ ব্যাংকের চিন্তা শুরু হয়। অতপর গ্রামীণ ব্যাংক একটি সরকারি প্রোজেক্ট হয়ে যায়।"
51,Why was only Grameen Bank successful?,"As a project under public banks, Grameen Bank (GB) operations mostly got little to no attention. The loanees were not cared for and the loan paperworks often got misplaced. Besides, due to being established organizations specializing elsewhere, complete surveillance over the loanees was not possible for them, as they had other things to worry about. This brought about the realization that if such operations are to be maintained, a separate specialized entity would be necessary dedicated towards microcredit operations. This is where Grameen Bank as an institution came in. GB put special emphasis on the experience of loanees. All GB employees were trained upon etiquettes. They would often travel to the loanees' houses and ask about their daily lives. Such practices created friendship and trust. It shattered the need for oppressive Mahajons (money-lenders). Soon enough, Grameen Bank became the bank of the poor."
52,গ্রামীণ ব্যাংক কেন সফল হয়?,"গ্রামীণ ব্যাংক একটা স্বয়ং-সম্পন্ন প্রতিষ্ঠান হওয়ার আগে তা সরকারি ব্যাংকের একটা প্রোজেক্ট ছিল। প্রোজেক্ট হিসেবে গ্রামীণের কার্যক্রম খুব বেশি যত্ন পাচ্ছিল না। এর কারণ হলো, সরকারি ব্যাংকগুলোর নিজস্ব গ্রাহক ছিল এবং তাদের নিজেদের কার্যক্রম পালন করা লাগতো। গ্রামীণের কার্যক্রম ছিল গৌণ। প্রায়ই দেখা যেত ব্যালেন্স শিট কিংবা লোন ফর্ম খুঁজে পাওয়া যাচ্ছে না। ঋণীদের অনেক কষ্ট হতো। এর থেকে একটা বোধোদয় হয় যে গ্রামীণ ব্যাংকের কার্যক্রম পরিচালনার জন্য একটা স্বায়ত্তশাসিত সংস্থার প্রয়োজন। গ্রামীণ ব্যাংক আলাদা সংস্থা হওয়ার পর তাদের মূল লক্ষ্য ছিল গ্রাহক অনুভূতি চমৎকার করা। গ্রামীণ ব্যাংকের সকল কর্মীদের শিষ্টাচার প্রশিক্ষণ দেওয়া হতো। তারা সদস্যদের বাড়ি বাড়ি যেতো আর তাদের সাথে কুশল বিনিময় করতো। তা ছাড়া, গ্রামীণ ব্যাংকের সদস্যরা প্রাথমিকভাবে দরিদ্র হওয়ায় কুশল বিনিময়ের সময় কর্মীদের কোন কিছু গ্রহন না করার প্রশিক্ষণও দেওয়া হতো। এতে গ্রামীণ ব্যাংকের সাথে গ্রামের মানুষের নিবীড় সম্পর্ক তৈরি হয়। এতে মহাজনদের ব্যবসার অবনতি ঘটে। এসব কারণেই গ্রামীণ ব্যাংক সফল হয়ে উঠে।"
53,"In the era of digitization, why do centers still exist?",In order to maintain intimate relations with the members
54,Why do centers still exist?,In order to maintain intimate relations with the members
55,গ্রামীণ ব্যাংকের কার্যক্রম ডিজিটালাইজ করার পরে এখন কেন্দ্রের উদ্দেশ্য কী?,সদস্যদের সাথে নিবীড় যোগাযোগ রক্ষার্থে
56,কেন্দ্র কেন এখনো বিদ্যমান?,সদস্যদের সাথে নিবীড় যোগাযোগ রক্ষার্থে
57,Who are Mahajons?,Oppressive money-lenders
58,মহাজন কারা?,গ্রামের অত্যাচারী ঋণদাতা
59,Grameen Krishi Foundation,"Bangladesh is an agrarian country, comprising mostly of farmers. Nobel Leaureate Prof. Dr. Md. Yunus figured that if we could design a policy to develop these farmers, we would be targeting a huge population. He noticed that the Barendra regions have over 2000 deep tube wells. Dr. Yunus estimated that 2000 deep tube wells were good for irrigating 300 bighas of land. He then established 50 godowns, purchased 200 trucks and chemical fertilizers. All assets were purchased by Grameen Bank (GB). Thus started the Non-Government Organization (NGO) Grameen Krishi Foundation (GKF) in 1986 with a view to empowering farmers. GKF had 2000 employees and they also established regional offices. GKF was an independent organization that promoted sustainable rural and agricultural development by providing training, credit, and technical assistance to poor farmers in Bangladesh. Farmers had to pay a third of the profit from their produce to Grameen Bank as payment for their services. This money was collected after harvest."
60,গ্রামীণ কৃষি ফাউন্ডেশন,"বাংলাদেশ কৃষিপ্রধান দেশ। বাংলাদেশের ৫০% জনগোষ্ঠী ও ৭০% জমি কৃষিকাজে নিয়োজিত। নোবেল বিজয়ী প্রফেসর ডঃ মোঃ ইউনুস চিন্তা করলেন কৃষি উন্নয়ন নিয়ে কাজ করতে পারলে অনেক বড় একটি জনসংখ্যার সেবা করা সম্ভব। তিনি পর্যবেক্ষণ করলেন যে বরেন্দ্রভূমীতে ২০০০-এর বেশি গভীর নলকূপ (ডিপ টিউবওয়েল) বর্তমান। উনার হিসাব মতে ২০০০ গভীর নলকূপে ৩০০ বিঘা জমির সেঁচের ব্যবস্থা করা সম্ভব। এই চিন্তা মাথায় রেখে ডঃ ইউনুস ১৯৮৬ সালে গ্রামীণ কৃষি ফাউন্ডেশন (GKF) প্রতিষ্ঠা করেন। প্রাথমিকভাবে GKF-এর অধীনে ৫০টা গুদাম বসানো হয়। তার সাথে, ২০০ ট্রাক ও সাথে রাসায়নিক সার খরিদ করা হয়। GKF-এর অধীনে ২০০০-এর বেশি কর্মচারী এবং এলাকাভিত্তিক অফিস ছিল। সকল রূপের আর্থিক সহায়তা গ্রামীণ ব্যাংক থেকে প্রদান করা হয়। GKF-এর লক্ষ্য ছিল কৃষি বিনিয়োগের মাধ্যমে কৃষকের আর্থসামাজিক অবস্থার উন্নয়ন। কৃষকেরা তেভাগা পদ্ধতিতে গ্রামীণ ব্যাংককে খরচ প্রদান করতো। অর্থাৎ ফলনের শেষে লভ্যাংশ থেকে একতৃতীয়াংশ তারা গ্রামীণ ব্যাংককে দিয়ে দিতো। এছাড়া, দীর্ঘস্থায়ী ও পরিবেশবান্ধব ফলন নিশ্চিত করতে GKF কৃষকদের প্রশিক্ষণ, ঋণ, ও প্রযুক্তিগত বিদ্যা প্রদান করতো।"
61,What did Grameen Bank do to Mahajons?,It ruined their existence.
62,গ্রামীণ ব্যাংকের কারণে মহাজনদের কী হয়?,মহাজনেরা নাস হয়ে যায়
63,What happened to Mahajons?,They ceased to exist due to the operations of Grameen Bank.
64,মহাজনদের কী হলো?,গ্রামীণ ব্যাংকের কার্যসূচীর কারণে মহাজনদের টিকে থাকা কষ্টকর হয়ে যায়।
65,Who were parts of the Polli-phone project?,Polli-phone was a project to provide cellphones to Grameen Bank members only.
66,পল্লীফোন কাদের প্রদান করা হতো?,গ্রামীণ ব্যাংকের সদস্যদের হাতে হাতে মুঠোফোন পৌঁছে দেওয়ার উদ্দেশ্যে পল্লীফোন ছিল গ্রামীণ ব্যাংকের একটি প্রোজেক্ট।
67,What was the call rate of Polli-phone?,BDT 5 per minute
68,পল্লীফোনের কল রেট,৫ টাকা প্রতি মিনিট
69,How much did Polli-phone profit?,BDT 10 crore
70,পল্লীফোনের লাভ কত?,১০ কোটি টাকা
71,What was the first slogan of Grameen Bank?,Oikko kormo sringkhola (ঐক্য কর্ম শৃঙ্খলা)
72,গ্রামীণ ব্যাংকের প্রথম স্লোগান কী?,ঐক্য কর্ম শৃঙ্খলা
73,History of Disaster Management Fund,"After the famine of 1987, the Government of Bangladesh (GoB) planned to provide 32 kgs of wheat to each affected person as relief. The government wanted to send this relief directly to the roots without involving local leaders. He entrusted this project to Dr. Md. Yunus. Dr. Md. Yunus charged each person BDT 210 for access to the reliefs. He used the money obtained to create a Disaster Management Fund under Grameen Bank. If disaster strikes, members can ask for loan from this fund without interest."
74,দুর্যোগ ব্যবস্থাপনা তহবিল,১৯৮৭ সালের বন্যার পর বাংলাদেশ সরকার সিদ্ধান্ত নেয় যে বন্যার্তদের প্রত্যেককে ৩২ কেজি গম দেওয়া হবে। কিন্তু এই কাজ এমনভাবে করতে হবে যাতে এলাকার সরকারি আমলাদের হাত-বদলের দুর্ভোগ ছাড়াই বন্যার্তরা সেবা নিতে পারে। এই চিন্তা মাথায় রেখে সরকার ডঃ মোঃ ইউনুসকে ত্রাণ বিতরনের দায়িত্ব দেয়। ডঃ ইউনুস প্রত্যেকের কাছে মাত্র ২১০ টাকায় এই গম বিক্রি করে। অতপর এই টাকা দিয়ে গ্রামীণ ব্যাংকের অধীনে একটি দুর্যোগ ব্যবস্থাপনা তহবিল প্রতিষ্ঠা করা হয়। এই তহবিল থেকে কোন সুদ ছাড়াই দুর্যোগে কবলিত মানুষ ঋণ নেওয়ার সুবিধা উপভোগ করে।
75,What is Disaster Management Fund?,The fund under Grameen Bank that provides interest-free loan to the disaster-affected
76,দুর্যোগ ব্যবস্থাপনা তহবিল কী?,গ্রামীণ ব্যাংকের অধীনে দুর্যোগ কবলিতদের সুদ-বিহীন ঋণ দেওয়ার জন্য ফান্ড
77,What kind of loan does Grameen Bank provide?,collateral free
78,গ্রামীণ ব্যাংক কী ধরণের ঋণ প্রদান করে?,জামানত-বিহীন
79,How to be a member of Grameen Bank,"In order to be a member of Grameen Bank (GB), the applicant first has to be poor. They have to then form a group of not less than five but not more than ten interested members, and apply altogether through the center office. It's better if the houses of the applicants are situated close together. The center officer will provide the group with individual membership forms and only collect the forms from their place of residence. This is done to ensure that the members have a permanent address. Upon acceptance of application, the members can apply for loan through the center office. Responsibility of repaying loan falls upon the entire group. GB reserves all rights to break or reform groups, or to substitute out any of the members."
80,গ্রামীণ ব্যাংকের সদস্য কিভাবে হওয়া যায়?,গ্রামীণ ব্যাংকের সদস্য হওয়ার পূর্বশর্ত হলো আবেদনকারীকে দরিদ্র হতে হবে। আবেদন করার জন্য ৫-১০ জনের গ্রুপ তৈরি করতে হবে। গ্রুপের সকলের বাড়ি কাছাকাছি হওয়া কাম্য। গ্রুপের সবার একসাথে আবেদন করতে হবে। গ্রুপের সবাই মিলে কেন্দ্র অফিসে আবেদন করতে হবে। কেন্দ্র অফিসার প্রত্যেককে সদস্য ফর্ম প্রদান করবে। অতপর সেই ফর্ম যার যার বাসস্থান থেকে সংগ্রহ করা হবে। এই নিয়মের উদ্দেশ্য সদস্যদের স্থায়ী ঠিকানা আছে কিনা তা নির্ধারণ করা। সদস্যতা গৃহীত হলে সে ঋণের জন্য কেন্দ্র অফিসে আবেদন করতে পারবে। ঋণ পরিশোধ করার দায়ভার পুরো গ্রুপের।
81,How many people are in a group?,5 to 10
82,একটা গ্রুপে কয়জন,৫ থেকে ১০
83,What is group?,"In order to apply for loan from Grameen Bank, one has to first be a member. Membership is only accepted as a group. 5-10 interested applicant have to form a group and then apply for membership. If membership is granted, it will be granted as a group. Grameen Bank holds all right to disburse the group or substitute members out of it or into it."
84,গ্রুপ কী?,"গ্রামীণ ব্যাংকের সদস্য হতে চাইলে ৫-১০ জনের একটি গ্রুপ বানাতে হবে। পুরো গ্রুপের সদস্যতা একসাথে গৃহীত হবে। গ্রামীণ ব্যাংক যেকোন কারণে যে কারো সদস্যতা বাতিল করার, গ্রুপ ভেঙে দেওয়ার কিংবা গ্রুপের সদস্য পরিবর্তন করার অধিকার রাখে।"
85,What is center?,"Center is the most root-level office of Grameen Bank (GB), and it falls at the bottom of the hierarchy. Centers exist in the distant villages. Centers remain in direct contact with the members."
86,কেন্দ্র কী?,গ্রামীণ ব্যাংকের শেকরের দিকে রয়েছে কেন্দ্র। অফিস অনুক্র্মায় কেন্দ্র সবার নিচে। সুদূর গ্রামে কেন্দ্র অফিসের অবস্থান। কেন্দ্র অফিসারেরা সদস্যদের সাথে সরাসরি যোগাযোগে থাকে।
87,What are center activities?,"Member onboarding, loan application and loan acceptance notice."
88,কেন্দ্রের কার্যক্রম কী?,"সদস্য নিয়োগ, ঋণ আবেদন ও ঋণ পাশ হওয়ার পর তা সদস্যকে জানানো।"
89,Who are in a group?,"In a typical group of 5, there exist a chairman, and a secretary. These two positions rotate at regular intervals."
90,একটা গ্রুপে কারা থাকে?,"৫ জনের গ্রুপে একজন সভাপতি, ও একজন সচিব থাকে। এই দুইটি পদ নিয়মিতভাবে ও ক্রমান্নয়ে পরিবর্তিত হতে থাকে।"
91,Why does the loan have to be applied for from the center?,The group chairman has to approve the loan
92,ঋণ আবেদন কেন্দ্র থেকে কেন করতে হবে?,গ্রুপ সভাপতির সম্মতি নেওয়ার জন্য
93,How are board members selected?,"One person is elected as center chief of each center. The center chiefs travel to their respective branch offices. From there, one center chief is elected. They then come to the area offices from respective branches. One member is elected and then they are brought to the region (anchal). Then one leader is elected to represent the region. Grameen Bank (GB) has nine regions. So, nine regional leaders, along with the Chairman and the Managing Director together are the board members."
94,বোর্ড মেম্বারদের কিভাবে নিয়োগ দেওয়া হয়?,"প্রত্যেক কেন্দ্রের থেকে একজন কেন্দ্র প্রধান নির্বাচিত হয়। কেন্দ্র প্রধানেরা এরপর যার যার শাখা অফিসে যায়। সেখানে সকল কেন্দ্র প্রধানদের মধ্যে একজন কেন্দ্র প্রধানকে শাখা প্রধান হিসেবে নির্বাচন করা হয়। অতপর তারা এলাকা অফিসে যায়। সেখানে আবার নির্বাচন হয়। সকল এলাকা অফিসের নির্বাচিতরা এবার অঞ্চলে আসে। অঞ্চলে আবার নির্বাচন হয়। গ্রামীণ ব্যাংকের মোট নয়টি অঞ্চল আছে। এই নয়জন অঞ্চল প্রধান, সভাপতি ও ব্যবস্থাপনা পরিচালক মিলে বোর্ড গঠিত হয়।"
95,How many meeting do the board members have each year?,"The board members have regular tri-yearly meetings. Apart from that, at times of crisis, board members may hold emergency meetings as well."
96,বোর্ড মেম্বারদের বছরে কয়টি সভা করা লাগে?,বোর্ড মেম্বারেরা নিয়মিতভাবে তৃবার্ষিক মিটিং করে। তাছাড়া সংকটপূর্ণ অবস্থায় যেকোন সময় বোর্ড মেম্বারদের সভা বসতে পারে।
97,Who is President?,A President is elected from the nine regional chiefs.
98,Who becomes President?,A President is elected from the nine regional chiefs.
99,কে প্রেসিডেন্ট হয়?,নয়জন অঞ্চল প্রধানদের মধ্যে নির্বাচনের মাধ্যমে প্রেসিডেন্ট নির্ণয় করা হয়।
100,Where is the President elected?,Head Office
101,প্রেসিডেন্ট নির্বাচন কোথায় হয়?,সদর দপ্তর
102,Board member responsibilities,"Financial approvals and loan disbursement, normal meeting every 3 months, instant meeting during crisis, fixing interest rates, employee salary, allowance and appraisal, and vendor management"
103,বোর্ড মেম্বারদের দায়িত্ব কী?,"আর্থিক অনুমোদন, ঋণ বিতরণ, প্রতি তিন মাস পরপর সাধারণ সভা, জরুরী প্রয়োজনে সভা, সুদের হার, কর্মচারীর বেতন, পদন্নোতি নির্ণয়, ও ভেন্ডর ব্যবস্থাপনা।"
104,Hierarchy of Board Members,"All Board Members hold similar privileges, apart from the Managing Director, he sits on top of the hierarchy."
105,বোর্ড মেম্বারদের কক্ষমতার অনুক্রম,সকলের বোর্ড মেম্বারের ক্ষমতা সমান সমান কিন্তু ব্যবস্থাপনা পরিচালকের ক্ষমতা বেশি।
